resource,municipality,resource_hybrid_score,resource_hybrid_raw,n_events_handled,event_score_mean_resource,avg_case_hybrid_score
10716070,BPIC15_1,0.083,0.1758690782456659,96,0.478,0.24
1550894,BPIC15_4,0.582,0.4583746116338207,12875,0.513,0.642
1946514,BPIC15_3,0.452,0.3847314712927764,180,0.66,0.725
2013365,BPIC15_3,0.616,0.4778106498592145,12905,0.523,0.647
2670601,BPIC15_1,0.584,0.4597792780326272,1363,0.681,0.796
2894257,BPIC15_3,0.311,0.3052315517953951,9,0.279,0.0
3069865,BPIC15_3,0.386,0.3475661887869891,899,0.361,0.672
3069866,BPIC15_3,0.162,0.2204589316124484,2933,0.376,0.809
3122446,BPIC15_3,0.395,0.3529195342600123,284,0.397,0.604
3148844,BPIC15_3,0.36,0.3330920847854441,105,0.311,0.0
3175153,BPIC15_1,0.354,0.3295021007973989,63,0.484,0.488
3273854,BPIC15_1,0.454,0.3864248853371714,383,0.594,0.771
3442724,BPIC15_3,0.428,0.371613352862686,6882,0.519,0.714
4634935,BPIC15_2,0.28,0.2877265091104362,4750,0.424,0.595
4676453,BPIC15_1,0.344,0.3239366748106754,89,0.244,0.0
4676959,BPIC15_1,0.382,0.3451541601104864,160,0.39,0.462
4901428,BPIC15_1,1.0,0.6954528815143443,23700,0.536,0.655
4936828,BPIC15_1,0.241,0.2654249389181902,717,0.703,0.671
5025869,BPIC15_3,0.556,0.4437993081589949,995,0.738,0.666
560429,BPIC15_5,0.447,0.3823402922369408,7245,0.529,0.68
560431,BPIC15_4,0.525,0.4263250825683516,1987,0.551,0.744
560454,BPIC15_3,0.803,0.5840343860307711,18701,0.535,0.634
560458,BPIC15_2,0.37,0.3387202779516323,13311,0.337,0.54
560462,BPIC15_1,0.181,0.2315145163698223,506,0.532,0.567
560464,BPIC15_1,0.751,0.5544861375288156,15453,0.576,0.67
560519,BPIC15_2,0.508,0.4165059881885732,9900,0.527,0.65
560521,BPIC15_2,0.544,0.4369678378950095,12656,0.478,0.628
560530,BPIC15_2,0.205,0.2451982875632349,3438,0.377,0.795
560532,BPIC15_2,0.319,0.3098041386535177,19,0.305,0.0
560589,BPIC15_1,0.376,0.3420267704445973,58,0.412,0.47
560594,BPIC15_5,0.51,0.417956380773435,602,0.566,0.73
560596,BPIC15_5,0.491,0.4068442322715255,2486,0.479,0.806
560598,BPIC15_5,0.656,0.5003000745257354,3401,0.66,0.67
560600,BPIC15_5,0.672,0.5097634163585325,16388,0.519,0.653
560602,BPIC15_5,0.462,0.3905306786712427,50,0.819,0.963
560604,BPIC15_5,0.817,0.5919525419750823,23377,0.499,0.676
560608,BPIC15_5,0.345,0.3241310643834139,5814,0.476,0.773
560665,BPIC15_3,0.304,0.3014170834261772,9,0.24,0.0
560683,BPIC15_3,0.104,0.1880506338488416,59,0.529,0.481
560690,BPIC15_3,0.404,0.3578540319093808,23,0.773,0.764
560694,BPIC15_3,0.067,0.1669713600781179,160,0.419,0.365
560696,BPIC15_3,0.667,0.5069570015622785,14069,0.532,0.737
560699,BPIC15_3,0.31,0.3043730353836306,7,0.295,0.0
560713,BPIC15_3,0.405,0.3585185989203891,38,0.639,0.464
560719,BPIC15_3,0.352,0.3281996134806302,61,0.326,0.0
560752,BPIC15_4,0.381,0.3448058989783402,112,0.353,0.481
560765,BPIC15_4,0.373,0.340320700357925,147,0.291,0.0
560781,BPIC15_4,0.437,0.376629761620504,12,0.843,1.0
560812,BPIC15_4,0.257,0.2745708581978565,6148,0.396,0.76
560837,BPIC15_4,0.471,0.3960508108551169,623,0.618,0.573
560849,BPIC15_4,0.324,0.3122668953460863,4137,0.524,0.744
560852,BPIC15_4,0.908,0.6431599646316142,21252,0.545,0.669
560872,BPIC15_1,0.509,0.4175335301300805,1481,0.477,0.748
560881,BPIC15_1,0.394,0.3520970606563764,50,0.604,0.629
560884,BPIC15_1,0.0,0.1289538454978216,9,0.31,0.0
560890,BPIC15_1,0.414,0.363418179461207,11,0.926,0.617
560894,BPIC15_1,0.485,0.403518341394285,395,0.531,0.726
560912,BPIC15_1,0.479,0.4004077459923871,6166,0.635,0.728
560922,BPIC15_3,0.329,0.3152132825159462,54,0.316,0.0
560925,BPIC15_1,0.385,0.3471524828917444,472,0.391,0.604
560950,BPIC15_1,0.28,0.2878269121935875,954,0.686,0.773
560999,BPIC15_1,0.357,0.3313948748115801,72,0.46,0.497
7096495,BPIC15_3,0.555,0.4431074049175479,1308,0.616,0.748
Unknown,BPIC15_1,0.426,0.370317809127085,19,0.775,0.971
