resource,municipality,resource_hybrid_score,resource_hybrid_raw
10716070,BPIC15_1,0.083,0.17586907824566597
1550894,BPIC15_4,0.582,0.45837461163382076
1946514,BPIC15_3,0.452,0.38473147129277646
2013365,BPIC15_3,0.616,0.4778106498592145
2670601,BPIC15_1,0.584,0.45977927803262725
2894257,BPIC15_3,0.311,0.3052315517953951
3069865,BPIC15_3,0.386,0.3475661887869891
3069866,BPIC15_3,0.162,0.22045893161244845
3122446,BPIC15_3,0.395,0.3529195342600123
3148844,BPIC15_3,0.36,0.3330920847854441
3175153,BPIC15_1,0.354,0.3295021007973989
3273854,BPIC15_1,0.454,0.3864248853371714
3442724,BPIC15_3,0.428,0.37161335286268604
4634935,BPIC15_2,0.28,0.28772650911043623
4676453,BPIC15_1,0.344,0.32393667481067545
4676959,BPIC15_1,0.382,0.34515416011048644
4901428,BPIC15_1,1.0,0.6954528815143443
4936828,BPIC15_1,0.241,0.2654249389181902
5025869,BPIC15_3,0.556,0.44379930815899493
560429,BPIC15_5,0.447,0.3823402922369408
560431,BPIC15_4,0.525,0.42632508256835167
560454,BPIC15_3,0.803,0.5840343860307711
560458,BPIC15_2,0.37,0.3387202779516323
560462,BPIC15_1,0.181,0.23151451636982234
560464,BPIC15_1,0.751,0.5544861375288156
560519,BPIC15_2,0.508,0.41650598818857326
560521,BPIC15_2,0.544,0.43696783789500954
560530,BPIC15_2,0.205,0.2451982875632349
560532,BPIC15_2,0.319,0.30980413865351775
560589,BPIC15_1,0.376,0.34202677044459734
560594,BPIC15_5,0.51,0.41795638077343505
560596,BPIC15_5,0.491,0.40684423227152555
560598,BPIC15_5,0.656,0.5003000745257354
560600,BPIC15_5,0.672,0.5097634163585325
560602,BPIC15_5,0.462,0.39053067867124275
560604,BPIC15_5,0.817,0.5919525419750823
560608,BPIC15_5,0.345,0.32413106438341394
560665,BPIC15_3,0.304,0.30141708342617723
560683,BPIC15_3,0.104,0.1880506338488416
560690,BPIC15_3,0.404,0.3578540319093808
560694,BPIC15_3,0.067,0.1669713600781179
560696,BPIC15_3,0.667,0.5069570015622785
560699,BPIC15_3,0.31,0.30437303538363064
560713,BPIC15_3,0.405,0.3585185989203891
560719,BPIC15_3,0.352,0.32819961348063026
560752,BPIC15_4,0.381,0.3448058989783402
560765,BPIC15_4,0.373,0.340320700357925
560781,BPIC15_4,0.437,0.376629761620504
560812,BPIC15_4,0.257,0.27457085819785654
560837,BPIC15_4,0.471,0.3960508108551169
560849,BPIC15_4,0.324,0.31226689534608637
560852,BPIC15_4,0.908,0.6431599646316142
560872,BPIC15_1,0.509,0.4175335301300805
560881,BPIC15_1,0.394,0.35209706065637647
560884,BPIC15_1,0.0,0.12895384549782166
560890,BPIC15_1,0.414,0.363418179461207
560894,BPIC15_1,0.485,0.403518341394285
560912,BPIC15_1,0.479,0.4004077459923871
560922,BPIC15_3,0.329,0.31521328251594627
560925,BPIC15_1,0.385,0.3471524828917444
560950,BPIC15_1,0.28,0.2878269121935875
560999,BPIC15_1,0.357,0.3313948748115801
7096495,BPIC15_3,0.555,0.4431074049175479
Unknown,BPIC15_1,0.426,0.37031780912708506
